text,role
"react node mongodb express javascript",Full Stack Developer
"react html css javascript",Frontend Developer
"python django flask mysql",Backend Developer
"python pandas numpy machine learning",Data Scientist
"java spring boot mysql",Backend Developer
"react node express mongodb socket.io",Full Stack Developer
"html css bootstrap figma",Frontend Developer
"python tensorflow deep learning",Data Scientist
"aws docker kubernetes linux",DevOps Engineer
"jenkins docker aws ci cd",DevOps Engineer
